EPC,First Seen,Last Seen,Probability%,Direction
E280F30200000000C4618863,2026-05-12 14:15:18,2026-05-12 14:15:18,100.0,OUT
C016,2026-05-12 14:15:18,2026-05-12 14:15:18,100.0,OUT
C027,2026-05-12 14:15:18,2026-05-12 14:15:18,100.0,OUT
C003,2026-05-12 14:15:18,2026-05-12 14:15:18,99.9,OUT
C057,2026-05-12 14:15:18,2026-05-12 14:15:18,99.9,OUT
C008,2026-05-12 14:15:18,2026-05-12 14:15:18,99.9,OUT
C025,2026-05-12 14:15:18,2026-05-12 14:15:18,99.9,OUT
C002,2026-05-12 14:15:18,2026-05-12 14:15:18,99.9,OUT
C040,2026-05-12 14:15:18,2026-05-12 14:15:18,99.8,OUT
C036,2026-05-12 14:15:18,2026-05-12 14:15:18,99.8,OUT
C035,2026-05-12 14:15:18,2026-05-12 14:15:18,99.8,OUT
C014,2026-05-12 14:15:18,2026-05-12 14:15:18,99.8,OUT
C051,2026-05-12 14:15:18,2026-05-12 14:15:18,99.7,OUT
C001,2026-05-12 14:15:18,2026-05-12 14:15:18,99.7,OUT
C011,2026-05-12 14:15:18,2026-05-12 14:15:18,99.6,OUT
C018,2026-05-12 14:15:18,2026-05-12 14:15:18,99.6,OUT
C004,2026-05-12 14:15:18,2026-05-12 14:15:18,99.3,OUT
C019,2026-05-12 14:15:18,2026-05-12 14:15:18,99.3,OUT
C053,2026-05-12 14:15:18,2026-05-12 14:15:18,98.8,OUT
C023,2026-05-12 14:15:18,2026-05-12 14:15:18,98.2,OUT
C007,2026-05-12 14:15:18,2026-05-12 14:15:18,98.2,OUT
1750990510056B0315FFFF50,2026-05-12 14:15:18,2026-05-12 14:15:18,80.0,OUT
E280F30200000000C46FE2DE,2026-05-12 14:15:18,2026-05-12 14:15:18,76.9,OUT
000000031083,2026-05-12 14:15:18,2026-05-12 14:15:18,75.6,OUT
