EPC,First Seen,Last Seen,Probability%,Direction
C016,2026-05-14 16:33:31,2026-05-18 15:20:42,99.2,OUT
C053,2026-05-14 16:33:31,2026-05-18 15:20:42,98.9,OUT
C014,2026-05-14 16:33:31,2026-05-18 15:20:42,93.9,OUT
C018,2026-05-14 16:33:31,2026-05-18 15:20:42,96.2,OUT
C003,2026-05-14 16:33:31,2026-05-18 15:20:42,93.9,OUT
C057,2026-05-14 16:33:31,2026-05-18 15:20:42,98.9,OUT
C036,2026-05-14 16:33:31,2026-05-18 15:20:42,98.3,OUT
C023,2026-05-14 16:33:31,2026-05-18 15:20:42,98.4,OUT
C040,2026-05-14 16:33:31,2026-05-18 15:20:42,99.2,OUT
C019,2026-05-14 16:33:31,2026-05-18 15:20:42,99.2,OUT
C051,2026-05-14 16:33:31,2026-05-18 15:20:42,98.3,OUT
C035,2026-05-14 16:33:31,2026-05-18 15:20:42,83.3,OUT
C011,2026-05-14 16:33:31,2026-05-18 15:20:42,83.3,OUT
C002,2026-05-14 16:33:31,2026-05-18 15:20:42,99.2,OUT
C025,2026-05-14 16:33:31,2026-05-18 15:20:42,98.9,OUT
C008,2026-05-14 16:33:31,2026-05-18 15:20:42,97.1,OUT
C027,2026-05-14 16:33:31,2026-05-18 15:20:42,46.6,OUT
C001,2026-05-14 16:33:31,2026-05-18 15:20:42,98.9,OUT
C004,2026-05-14 16:33:31,2026-05-18 15:20:42,83.3,OUT
C007,2026-05-14 16:33:31,2026-05-18 15:20:42,83.3,OUT
E280F3020000000174458268,2026-05-18 15:20:42,2026-05-18 15:20:42,20.6,OUT
