EPC,First Seen,Last Seen,Probability%,Direction
0121,2026-04-24 14:26:59,2026-04-24 14:28:50,98.7,OUT
0203,2026-04-24 14:26:59,2026-04-24 14:28:50,98.7,OUT
0104,2026-04-24 14:26:59,2026-04-24 14:28:50,95.1,OUT
0115,2026-04-24 14:26:59,2026-04-24 14:28:50,98.5,OUT
0106,2026-04-24 14:26:59,2026-04-24 14:28:50,98.3,OUT
0101,2026-04-24 14:26:59,2026-04-24 14:28:50,99.2,OUT
0107,2026-04-24 14:26:59,2026-04-24 14:28:50,98.3,OUT
0110,2026-04-24 14:26:59,2026-04-24 14:28:50,98.0,OUT
0205,2026-04-24 14:26:59,2026-04-24 14:28:50,97.2,OUT
0224,2026-04-24 14:26:59,2026-04-24 14:28:50,99.5,OUT
0109,2026-04-24 14:26:59,2026-04-24 14:28:50,98.0,OUT
0113,2026-04-24 14:26:59,2026-04-24 14:28:50,95.3,OUT
0105,2026-04-24 14:26:59,2026-04-24 14:28:50,99.6,OUT
0208,2026-04-24 14:26:59,2026-04-24 14:28:50,99.8,OUT
0102,2026-04-24 14:26:59,2026-04-24 14:28:50,99.5,OUT
0502,2026-04-24 14:26:59,2026-04-24 14:28:50,99.0,OUT
0114,2026-04-24 14:26:59,2026-04-24 14:28:50,98.8,OUT
0111,2026-04-24 14:26:59,2026-04-24 14:28:50,98.9,OUT
0216,2026-04-24 14:26:59,2026-04-24 14:28:50,97.6,OUT
0505,2026-04-24 14:26:59,2026-04-24 14:28:50,97.0,OUT
0202,2026-04-24 14:27:40,2026-04-24 14:28:50,99.8,OUT
0112,2026-04-24 14:27:40,2026-04-24 14:28:50,99.5,OUT
0207,2026-04-24 14:27:40,2026-04-24 14:28:50,99.0,OUT
0206,2026-04-24 14:27:40,2026-04-24 14:28:50,98.8,OUT
0209,2026-04-24 14:27:40,2026-04-24 14:28:50,99.1,OUT
0222,2026-04-24 14:27:40,2026-04-24 14:28:50,92.0,OUT
0220,2026-04-24 14:27:40,2026-04-24 14:28:50,99.3,OUT
0218,2026-04-24 14:27:40,2026-04-24 14:28:50,99.3,OUT
0120,2026-04-24 14:27:40,2026-04-24 14:28:50,98.7,OUT
0223,2026-04-24 14:28:11,2026-04-24 14:28:50,93.5,OUT
