EPC,First Seen,Last Seen,Probability%,Direction
0120,2026-05-18 15:23:18,2026-05-18 15:25:28,98.9,OUT
0109,2026-05-18 15:23:18,2026-05-18 15:25:28,99.3,OUT
0206,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0501,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0209,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0223,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0503,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0201,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0111,2026-05-18 15:23:18,2026-05-18 15:25:28,98.8,OUT
0112,2026-05-18 15:23:18,2026-05-18 15:25:28,98.4,OUT
0113,2026-05-18 15:23:18,2026-05-18 15:25:28,98.9,OUT
0106,2026-05-18 15:23:18,2026-05-18 15:25:28,99.3,OUT
0202,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0224,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0208,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0216,2026-05-18 15:23:18,2026-05-18 15:25:28,99.2,OUT
0502,2026-05-18 15:23:18,2026-05-18 15:25:28,96.2,OUT
0207,2026-05-18 15:23:18,2026-05-18 15:25:28,98.3,OUT
0115,2026-05-18 15:23:18,2026-05-18 15:25:28,98.9,OUT
0220,2026-05-18 15:23:18,2026-05-18 15:25:28,96.2,OUT
0505,2026-05-18 15:23:18,2026-05-18 15:25:28,98.3,OUT
0203,2026-05-18 15:23:18,2026-05-18 15:25:28,92.9,OUT
0102,2026-05-18 15:23:18,2026-05-18 15:25:28,97.1,OUT
0218,2026-05-18 15:23:18,2026-05-18 15:25:28,98.9,OUT
0222,2026-05-18 15:23:18,2026-05-18 15:25:28,96.2,OUT
0205,2026-05-18 15:23:44,2026-05-18 15:25:28,98.8,OUT
1750990510056B0315FFFF50,2026-05-18 15:24:42,2026-05-18 15:24:42,33.8,IN
E280F30200000000C061E69F,2026-05-18 15:23:18,2026-05-18 15:23:18,83.3,OUT
